,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Salary
117,49,Local-gov,197371,Associate,11,Married,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K
118,55,Private,247552,Bachelors,10,Married,Sales,Husband,White,Male,0,0,56,United-States,<=50K
119,22,Private,102632,High School,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,<=50K
120,21,Private,199915,Bachelors,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
121,40,Private,118853,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
122,30,Private,77143,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,Germany,<=50K
123,29,State-gov,267989,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
124,19,Private,301606,Bachelors,10,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,<=50K
125,47,Private,287828,Bachelors,13,Married,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
126,20,Private,111697,Bachelors,10,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28,United-States,<=50K
127,31,Private,114937,Associate,12,Married,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
128,35,Other-service,129305,High School,9,Married,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
129,39,Private,365739,Bachelors,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
130,28,Private,69621,Associate,12,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-States,<=50K
131,24,Private,43323,High School,9,Never-married,Other-service,Not-in-family,White,Female,0,1762,40,United-States,<=50K
132,38,Self-emp-not-inc,120985,High School,9,Married,Craft-repair,Husband,White,Male,4386,0,35,United-States,<=50K
133,37,Private,254202,Bachelors,13,Married,Sales,Husband,White,Male,0,0,50,United-States,<=50K
134,46,Private,146195,Associate,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,36,United-States,<=50K
135,38,Federal-gov,125933,Masters,14,Married,Prof-specialty,Husband,White,Male,0,0,40,Iran,>50K
136,43,Self-emp-not-inc,56920,High School,9,Married,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
137,27,Private,163127,Associate,11,Married,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
138,20,Private,34310,Bachelors,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
139,49,Private,81973,Bachelors,10,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
140,61,Self-emp-inc,66614,High School,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
141,27,Private,232782,Bachelors,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
142,19,Private,316868,Bachelors,10,Never-married,Other-service,Own-child,White,Male,0,0,30,Mexico,<=50K
143,45,Private,196584,Associate,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,United-States,>50K
144,70,Private,105376,Bachelors,10,Never-married,Tech-support,Other-relative,White,Male,0,0,40,United-States,<=50K
145,31,Private,185814,High School,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,<=50K
146,22,Private,175374,Bachelors,10,Married,Other-service,Husband,White,Male,0,0,24,United-States,<=50K
147,36,Private,108293,High School,9,Widowed,Other-service,Unmarried,White,Female,0,0,24,United-States,<=50K
148,64,Private,181232,Compulsory,7,Married,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K
149,43,Other-service,174662,Bachelors,10,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
150,47,Local-gov,186009,Bachelors,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,Mexico,<=50K
151,34,Private,198183,High School,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
152,33,Private,163003,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
153,21,Private,296158,High School,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,<=50K
154,52,Other-service,252903,High School,9,Divorced,Other-service,Not-in-family,White,Male,0,0,45,United-States,>50K
155,48,Private,187715,High School,9,Married,Craft-repair,Husband,White,Male,0,0,46,United-States,<=50K
156,23,Private,214542,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
157,71,Self-emp-not-inc,494223,Bachelors,10,Divorced,Sales,Unmarried,Black,Male,0,1816,2,United-States,<=50K
158,29,Private,191535,High School,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
159,42,Private,228456,Bachelors,13,Divorced,Other-service,Other-relative,Black,Male,0,0,50,United-States,<=50K
160,68,Other-service,38317,Compulsory,2,Divorced,Other-service,Not-in-family,White,Female,0,0,20,United-States,<=50K
161,25,Private,252752,High School,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
162,44,Self-emp-inc,78374,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
163,28,Private,88419,High School,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,England,<=50K
164,45,Self-emp-not-inc,201080,Masters,14,Married,Sales,Husband,White,Male,0,0,40,United-States,>50K
165,36,Private,207157,Bachelors,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,Mexico,<=50K
166,39,Federal-gov,235485,Associate,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,<=50K
167,46,State-gov,102628,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,United-States,<=50K
168,18,Private,25828,Compulsory,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,<=50K
169,66,Local-gov,54826,Associate,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50K
170,27,Private,124953,High School,9,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,United-States,<=50K
171,28,State-gov,175325,High School,9,Married,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
172,51,Private,96062,Bachelors,10,Married,Sales,Husband,White,Male,0,1977,40,United-States,>50K
173,27,Private,428030,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
174,28,State-gov,149624,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
175,27,Private,253814,High School,9,Married,Sales,Unmarried,White,Female,0,0,25,United-States,<=50K
176,21,Private,312956,High School,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
177,34,Private,483777,High School,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
178,18,Private,183930,High School,9,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
179,33,Private,37274,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,65,United-States,<=50K
180,44,Local-gov,181344,Bachelors,10,Married,Exec-managerial,Husband,Black,Male,0,0,38,United-States,>50K
181,43,Private,114580,Bachelors,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
182,30,Private,633742,Bachelors,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,<=50K
183,40,Private,286370,Compulsory,4,Married,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,>50K
184,37,Federal-gov,29054,Bachelors,10,Married,Adm-clerical,Husband,White,Male,0,0,42,United-States,>50K
185,34,Private,304030,High School,9,Married,Adm-clerical,Husband,Black,Male,0,0,40,United-States,<=50K
186,41,Self-emp-not-inc,143129,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
187,53,Other-service,135105,Bachelors,13,Divorced,Other-service,Not-in-family,White,Female,0,0,50,United-States,<=50K
188,31,Private,99928,Masters,14,Married,Prof-specialty,Wife,White,Female,0,0,50,United-States,<=50K
189,58,State-gov,109567,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,0,1,United-States,>50K
190,38,Private,155222,Bachelors,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,United-States,<=50K
191,24,Private,159567,Bachelors,10,Married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
192,41,Local-gov,523910,Bachelors,13,Married,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
193,47,Private,120939,Bachelors,10,Married,Tech-support,Husband,White,Male,0,0,45,United-States,<=50K
194,41,Federal-gov,130760,Bachelors,13,Married,Tech-support,Husband,White,Male,0,0,24,United-States,<=50K
195,23,Private,197387,Compulsory,3,Married,Transport-moving,Other-relative,White,Male,0,0,40,Mexico,<=50K
196,36,Private,99374,Bachelors,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
197,40,Federal-gov,56795,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,55,United-States,>50K
198,35,Private,138992,Masters,14,Married,Prof-specialty,Other-relative,White,Male,7298,0,40,United-States,>50K
199,24,Self-emp-not-inc,32921,High School,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
200,26,Private,397317,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50K
201,19,Other-service,170653,High School,9,Never-married,Other-service,Own-child,White,Male,0,0,40,Italy,<=50K
202,51,Private,259323,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
203,42,Local-gov,254817,Bachelors,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,1340,40,United-States,<=50K
204,37,State-gov,48211,High School,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,<=50K
205,18,Private,140164,Compulsory,7,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
206,36,Private,128757,Bachelors,13,Married,Other-service,Husband,Black,Male,7298,0,36,United-States,>50K
207,35,Private,36270,High School,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
208,58,Self-emp-inc,210563,High School,9,Married,Sales,Wife,White,Female,15024,0,35,United-States,>50K
209,17,Private,65368,Compulsory,7,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,<=50K
210,44,Local-gov,160943,High School,9,Married,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K
211,37,Private,208358,High School,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
212,35,Private,153790,Bachelors,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
213,60,Private,85815,High School,9,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
214,54,Self-emp-inc,125417,Compulsory,4,Married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
215,37,Private,635913,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,60,United-States,>50K
216,50,Private,313321,Associate,12,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
217,38,Private,182609,Bachelors,13,Married,Sales,Husband,White,Male,0,0,50,Poland,<=50K
218,45,Private,109434,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,55,United-States,<=50K
219,25,Private,255004,Compulsory,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
220,31,Private,197860,Bachelors,10,Married,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
221,64,Other-service,187656,Compulsory,2,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
222,90,Private,51744,High School,9,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,United-States,<=50K
223,54,Private,176681,High School,9,Married,Adm-clerical,Husband,Black,Male,0,0,20,United-States,<=50K
224,53,Local-gov,140359,Compulsory,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States,<=50K
225,18,Private,243313,High School,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
226,60,Other-service,24215,Compulsory,6,Divorced,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,United-States,<=50K
227,66,Self-emp-not-inc,167687,High School,9,Married,Farming-fishing,Husband,White,Male,1409,0,50,United-States,<=50K
228,75,Private,314209,Associate,11,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,Others,<=50K
229,65,Private,176796,High School,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
230,35,Private,538583,Compulsory,7,Divorced,Transport-moving,Not-in-family,Black,Male,3674,0,40,United-States,<=50K
231,41,Private,130408,High School,9,Divorced,Sales,Unmarried,Black,Female,0,0,38,United-States,<=50K
232,25,Private,159732,Bachelors,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42,United-States,<=50K
233,33,Private,110978,Bachelors,10,Divorced,Craft-repair,Other-relative,Other,Female,0,0,40,United-States,<=50K
234,28,Private,76714,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,>50K
235,59,State-gov,268700,High School,9,Married,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
236,40,State-gov,170525,Bachelors,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,<=50K
237,41,Private,180138,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,50,Iran,>50K
238,38,Local-gov,115076,Masters,14,Married,Exec-managerial,Husband,White,Male,0,0,70,United-States,>50K
239,23,Private,115458,High School,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
240,40,Private,347890,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
241,41,Self-emp-not-inc,196001,High School,9,Married,Other-service,Wife,White,Female,0,0,20,United-States,<=50K
242,24,State-gov,273905,Associate,12,Married,Protective-serv,Husband,White,Male,0,0,50,United-States,<=50K
243,20,Other-service,119156,Bachelors,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
244,38,Private,179488,Bachelors,10,Divorced,Craft-repair,Not-in-family,White,Male,0,1741,40,United-States,<=50K
245,56,Private,203580,High School,9,Married,Adm-clerical,Husband,White,Male,0,0,35,Others,<=50K
246,58,Private,236596,High School,9,Married,Adm-clerical,Husband,White,Male,0,0,45,United-States,>50K
247,32,Private,183916,High School,9,Never-married,Other-service,Not-in-family,White,Female,0,0,34,United-States,<=50K
248,40,Private,207578,Associate,12,Married,Tech-support,Husband,White,Male,0,1977,60,United-States,>50K
249,45,Private,153141,High School,9,Married,Adm-clerical,Husband,White,Male,0,0,40,Others,<=50K
250,41,Private,112763,Prof-school,15,Married,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
251,42,Private,390781,Bachelors,13,Married,Adm-clerical,Wife,Black,Female,0,0,40,United-States,<=50K
252,59,Local-gov,171328,Compulsory,6,Widowed,Other-service,Unmarried,Black,Female,0,0,30,United-States,<=50K
